 Loading model...
Downloading data from 2016-01-01 to 2024-08-01...

=== LIVE PAPER-TRADING SIMULATION ===

Start: 2023-01-02  End: 2024-08-01
Costs: comm=0.001, slip=0.0005, fill_rate=0.9
Latency: True  Turnover cap: 0.15  Vol target: 0.15
----------------------------------------------------------------------
2023-06-20 | Value: 1.1378 | Return: -0.381% | Trade: 5.09% | Assets held: 98 | Cost: 0.008%
2023-06-21 | Value: 1.1375 | Return: -0.032% | Trade: 5.05% | Assets held: 98 | Cost: 0.008%
2023-06-22 | Value: 1.1320 | Return: -0.479% | Trade: 5.99% | Assets held: 98 | Cost: 0.009%
2023-06-23 | Value: 1.1303 | Return: -0.154% | Trade: 3.51% | Assets held: 98 | Cost: 0.005%
2023-06-26 | Value: 1.1408 | Return: +0.931% | Trade: 3.61% | Assets held: 98 | Cost: 0.005%
2023-06-27 | Value: 1.1416 | Return: +0.074% | Trade: 4.27% | Assets held: 98 | Cost: 0.006%
2023-06-28 | Value: 1.1440 | Return: +0.210% | Trade: 4.53% | Assets held: 98 | Cost: 0.007%
2023-06-29 | Value: 1.1531 | Return: +0.794% | Trade: 2.38% | Assets held: 98 | Cost: 0.004%
2023-06-30 | Value: 1.1563 | Return: +0.280% | Trade: 2.84% | Assets held: 98 | Cost: 0.004%
2023-07-03 | Value: 1.1558 | Return: -0.043% | Trade: 3.23% | Assets held: 98 | Cost: 0.005%
2023-07-04 | Value: 1.1523 | Return: -0.301% | Trade: 2.16% | Assets held: 98 | Cost: 0.003%
2023-07-05 | Value: 1.1404 | Return: -1.040% | Trade: 3.15% | Assets held: 98 | Cost: 0.005%
2023-07-06 | Value: 1.1401 | Return: -0.023% | Trade: 4.06% | Assets held: 98 | Cost: 0.006%
2023-07-07 | Value: 1.1486 | Return: +0.742% | Trade: 2.57% | Assets held: 98 | Cost: 0.004%
2023-07-10 | Value: 1.1580 | Return: +0.822% | Trade: 3.45% | Assets held: 98 | Cost: 0.005%
2023-07-11 | Value: 1.1651 | Return: +0.615% | Trade: 3.06% | Assets held: 98 | Cost: 0.005%
2023-07-12 | Value: 1.1794 | Return: +1.228% | Trade: 2.19% | Assets held: 98 | Cost: 0.003%
2023-07-13 | Value: 1.1732 | Return: -0.527% | Trade: 4.05% | Assets held: 98 | Cost: 0.006%
2023-07-14 | Value: 1.1793 | Return: +0.518% | Trade: 3.54% | Assets held: 98 | Cost: 0.005%
2023-07-17 | Value: 1.1853 | Return: +0.508% | Trade: 3.23% | Assets held: 98 | Cost: 0.005%
2023-07-18 | Value: 1.1897 | Return: +0.370% | Trade: 3.25% | Assets held: 98 | Cost: 0.005%
2023-07-19 | Value: 1.1813 | Return: -0.702% | Trade: 2.49% | Assets held: 98 | Cost: 0.004%
2023-07-20 | Value: 1.1822 | Return: +0.071% | Trade: 3.85% | Assets held: 98 | Cost: 0.006%
2023-07-21 | Value: 1.1841 | Return: +0.164% | Trade: 2.83% | Assets held: 98 | Cost: 0.004%
2023-07-24 | Value: 1.1871 | Return: +0.250% | Trade: 3.74% | Assets held: 98 | Cost: 0.006%
2023-07-25 | Value: 1.1879 | Return: +0.072% | Trade: 3.21% | Assets held: 98 | Cost: 0.005%
2023-07-26 | Value: 1.1785 | Return: -0.791% | Trade: 3.17% | Assets held: 98 | Cost: 0.005%
2023-07-27 | Value: 1.1921 | Return: +1.150% | Trade: 3.49% | Assets held: 98 | Cost: 0.005%
2023-07-28 | Value: 1.1989 | Return: +0.575% | Trade: 3.52% | Assets held: 98 | Cost: 0.005%
2023-07-31 | Value: 1.1970 | Return: -0.164% | Trade: 3.67% | Assets held: 98 | Cost: 0.005%
2023-08-01 | Value: 1.1802 | Return: -1.404% | Trade: 3.62% | Assets held: 98 | Cost: 0.005%
2023-08-02 | Value: 1.1797 | Return: -0.041% | Trade: 3.50% | Assets held: 98 | Cost: 0.005%
2023-08-03 | Value: 1.1809 | Return: +0.105% | Trade: 2.63% | Assets held: 98 | Cost: 0.004%
2023-08-04 | Value: 1.1867 | Return: +0.488% | Trade: 2.98% | Assets held: 98 | Cost: 0.004%
2023-08-07 | Value: 1.1791 | Return: -0.639% | Trade: 3.02% | Assets held: 98 | Cost: 0.005%
2023-08-08 | Value: 1.1705 | Return: -0.727% | Trade: 3.42% | Assets held: 98 | Cost: 0.005%
2023-08-09 | Value: 1.1713 | Return: +0.063% | Trade: 3.15% | Assets held: 98 | Cost: 0.005%
2023-08-10 | Value: 1.1673 | Return: -0.338% | Trade: 3.40% | Assets held: 98 | Cost: 0.005%
2023-08-11 | Value: 1.1733 | Return: +0.517% | Trade: 3.72% | Assets held: 98 | Cost: 0.006%
2023-08-14 | Value: 1.1615 | Return: -1.013% | Trade: 2.80% | Assets held: 98 | Cost: 0.004%
2023-08-15 | Value: 1.1534 | Return: -0.696% | Trade: 3.93% | Assets held: 98 | Cost: 0.006%
2023-08-16 | Value: 1.1444 | Return: -0.781% | Trade: 5.33% | Assets held: 98 | Cost: 0.008%
2023-08-17 | Value: 1.1449 | Return: +0.044% | Trade: 5.30% | Assets held: 98 | Cost: 0.008%
2023-08-18 | Value: 1.1480 | Return: +0.274% | Trade: 5.45% | Assets held: 98 | Cost: 0.008%
2023-08-21 | Value: 1.1466 | Return: -0.126% | Trade: 5.25% | Assets held: 98 | Cost: 0.008%
2023-08-22 | Value: 1.1593 | Return: +1.110% | Trade: 5.82% | Assets held: 98 | Cost: 0.009%
2023-08-23 | Value: 1.1473 | Return: -1.036% | Trade: 6.31% | Assets held: 98 | Cost: 0.009%
2023-08-24 | Value: 1.1515 | Return: +0.367% | Trade: 7.65% | Assets held: 98 | Cost: 0.011%
2023-08-25 | Value: 1.1578 | Return: +0.547% | Trade: 4.08% | Assets held: 98 | Cost: 0.006%
2023-08-28 | Value: 1.1746 | Return: +1.449% | Trade: 7.09% | Assets held: 98 | Cost: 0.011%
2023-08-29 | Value: 1.1771 | Return: +0.212% | Trade: 8.05% | Assets held: 98 | Cost: 0.012%
2023-08-30 | Value: 1.1764 | Return: -0.055% | Trade: 6.48% | Assets held: 98 | Cost: 0.010%
2023-08-31 | Value: 1.1766 | Return: +0.016% | Trade: 7.13% | Assets held: 98 | Cost: 0.011%
2023-09-01 | Value: 1.1765 | Return: -0.004% | Trade: 5.07% | Assets held: 98 | Cost: 0.008%
2023-09-04 | Value: 1.1718 | Return: -0.400% | Trade: 4.08% | Assets held: 98 | Cost: 0.006%
2023-09-05 | Value: 1.1677 | Return: -0.350% | Trade: 5.50% | Assets held: 98 | Cost: 0.008%
2023-09-06 | Value: 1.1696 | Return: +0.158% | Trade: 4.59% | Assets held: 98 | Cost: 0.007%
2023-09-07 | Value: 1.1727 | Return: +0.262% | Trade: 5.32% | Assets held: 98 | Cost: 0.008%
2023-09-08 | Value: 1.1807 | Return: +0.682% | Trade: 8.54% | Assets held: 98 | Cost: 0.013%
2023-09-11 | Value: 1.1758 | Return: -0.414% | Trade: 4.35% | Assets held: 98 | Cost: 0.007%
2023-09-12 | Value: 1.1755 | Return: -0.023% | Trade: 5.82% | Assets held: 98 | Cost: 0.009%
2023-09-13 | Value: 1.1818 | Return: +0.541% | Trade: 5.51% | Assets held: 98 | Cost: 0.008%
2023-09-14 | Value: 1.1708 | Return: -0.936% | Trade: 8.65% | Assets held: 98 | Cost: 0.013%
2023-09-15 | Value: 1.1707 | Return: -0.011% | Trade: 4.45% | Assets held: 98 | Cost: 0.007%
2023-09-18 | Value: 1.1662 | Return: -0.377% | Trade: 7.31% | Assets held: 98 | Cost: 0.011%
2023-09-19 | Value: 1.1598 | Return: -0.553% | Trade: 3.71% | Assets held: 98 | Cost: 0.006%
2023-09-20 | Value: 1.1416 | Return: -1.571% | Trade: 4.63% | Assets held: 98 | Cost: 0.007%
2023-09-21 | Value: 1.1427 | Return: +0.100% | Trade: 2.87% | Assets held: 98 | Cost: 0.004%
2023-09-22 | Value: 1.1432 | Return: +0.041% | Trade: 3.75% | Assets held: 98 | Cost: 0.006%
2023-09-25 | Value: 1.1306 | Return: -1.104% | Trade: 3.04% | Assets held: 98 | Cost: 0.005%
2023-09-26 | Value: 1.1312 | Return: +0.059% | Trade: 5.15% | Assets held: 98 | Cost: 0.008%
2023-09-27 | Value: 1.1397 | Return: +0.753% | Trade: 3.63% | Assets held: 98 | Cost: 0.005%
2023-09-28 | Value: 1.1379 | Return: -0.166% | Trade: 3.70% | Assets held: 98 | Cost: 0.006%
2023-09-29 | Value: 1.1349 | Return: -0.256% | Trade: 4.72% | Assets held: 98 | Cost: 0.007%
2023-10-02 | Value: 1.1207 | Return: -1.256% | Trade: 4.53% | Assets held: 98 | Cost: 0.007%
